epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,36.7711,1.46671,2.68263,1.60329,1.15419,0,0.47022,0.33984,0.26927,0.14883,0.40091,0.27428,0.18903,0.08433,1.37793,3.31906,1.5587,1.14332,0,0.000660256,0.000660256,0.0676474
2,73.1593,1.30707,2.11259,1.15017,1.06734,0,0.5277,0.38748,0.346,0.19494,0.50709,0.34756,0.29755,0.15134,1.30843,2.28037,1.23704,1.10363,0,0.00132626,0.00132626,0.0349801
3,113.059,1.24354,2.00664,1.07743,1.04032,0,0.51005,0.42066,0.34832,0.20216,0.493,0.37263,0.3035,0.15672,1.28503,2.21372,1.19759,1.10923,0,0.00198962,0.00198962,0.00231013
4,150.44,1.22441,1.95756,1.04819,1.03191,0,0.4285,0.39893,0.36988,0.21415,0.39195,0.35829,0.31086,0.1552,1.25744,2.07793,1.17119,1.09915,0,0.00199104,0.00199104,0.00199104
5,190.265,1.18839,1.88772,1.00946,1.0216,0,0.58773,0.40606,0.38819,0.23111,0.56008,0.39297,0.35453,0.18817,1.21659,2.02441,1.08861,1.09372,0,0.00198409,0.00198409,0.00198409
6,229.925,1.16861,1.85892,0.98062,1.01097,0,0.47749,0.41642,0.4039,0.23771,0.43318,0.38482,0.34276,0.17487,1.22708,1.93761,1.07774,1.07803,0,0.00197518,0.00197518,0.00197518
7,300.862,1.1351,1.81747,0.93915,0.99923,0,0.64195,0.41928,0.4306,0.26532,0.61641,0.38941,0.37923,0.2073,1.18457,1.90576,1.02942,1.05778,0,0.00196432,0.00196432,0.00196432
8,340.749,1.11557,1.7467,0.92116,0.99298,0,0.60845,0.4076,0.41454,0.25211,0.57141,0.38908,0.36991,0.19844,1.18623,1.95244,1.03644,1.06773,0,0.00195155,0.00195155,0.00195155
9,408.826,1.1285,1.75914,0.91145,0.98677,0,0.60576,0.44058,0.41404,0.25077,0.57231,0.39743,0.3588,0.18816,1.16677,1.90403,1.01676,1.06487,0,0.00193687,0.00193687,0.00193687
10,443.789,1.07951,1.68977,0.87748,0.98015,0,0.60432,0.44104,0.41587,0.25339,0.58413,0.39084,0.36667,0.19047,1.17521,1.94019,1.01827,1.06155,0,0.00192033,0.00192033,0.00192033
11,488.216,1.08577,1.71661,0.86771,0.97707,0,0.63591,0.43574,0.43069,0.2644,0.62013,0.39758,0.38804,0.20808,1.15149,1.85652,1.00577,1.05036,0,0.00190196,0.00190196,0.00190196
12,548.898,1.06719,1.66566,0.88163,0.96696,0,0.62487,0.42728,0.42266,0.25965,0.60194,0.37955,0.37187,0.19783,1.14996,1.85507,1.03894,1.05597,0,0.00188179,0.00188179,0.00188179
13,587.739,1.06269,1.655,0.85388,0.96782,0,0.49544,0.42333,0.43192,0.27101,0.46765,0.38827,0.38442,0.20256,1.14575,1.84736,0.99271,1.05954,0,0.00185986,0.00185986,0.00185986
