epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,61.3151,1.46105,2.64591,1.581,1.13943,0,0.2993,0.35115,0.25161,0.14247,0.24723,0.29809,0.20049,0.09854,1.349,3.01179,1.74903,1.11758,0,0.000660256,0.000660256,0.0676474
2,119.473,1.30382,2.11067,1.16367,1.05772,0,0.51211,0.36249,0.30826,0.173,0.49277,0.31988,0.2658,0.13833,1.33193,2.29788,1.34692,1.10732,0,0.00132626,0.00132626,0.0349801
3,178.214,1.23324,2.00963,1.0874,1.02921,0,0.53911,0.41173,0.36129,0.20966,0.49865,0.36969,0.30409,0.1561,1.26702,2.15888,1.14865,1.08736,0,0.00198962,0.00198962,0.00231013
4,249.839,1.23075,1.99048,1.06606,1.02646,0,0.40662,0.41219,0.36588,0.21195,0.38545,0.36667,0.31757,0.16049,1.26266,2.09251,1.14627,1.09977,0,0.00199104,0.00199104,0.00199104
5,309.778,1.18902,1.91087,1.0279,1.01372,0,0.57395,0.4248,0.39115,0.23351,0.55727,0.39603,0.35765,0.18647,1.22668,1.96919,1.08164,1.08107,0,0.00198409,0.00198409,0.00198409
6,367.435,1.16477,1.88705,0.99129,1.00137,0,0.47,0.44826,0.42383,0.25637,0.43477,0.41573,0.3649,0.19056,1.16494,1.91589,1.02937,1.06176,0,0.00197518,0.00197518,0.00197518
7,514.613,1.12609,1.82276,0.94804,0.99037,0,0.62952,0.42459,0.42234,0.25833,0.59924,0.39454,0.37041,0.19724,1.1773,1.87523,1.03602,1.05911,0,0.00196432,0.00196432,0.00196432
8,605.649,1.12488,1.79753,0.9477,0.99043,0,0.43711,0.44349,0.40693,0.24714,0.43531,0.38301,0.35211,0.17899,1.14842,1.91327,1.02369,1.0522,0,0.00195155,0.00195155,0.00195155
9,663.172,1.12027,1.78946,0.93172,0.98095,0,0.46597,0.4176,0.40631,0.24627,0.43399,0.38569,0.35544,0.18706,1.15658,1.88139,1.05126,1.05319,0,0.00193687,0.00193687,0.00193687
10,718.799,1.09981,1.72918,0.91426,0.97906,0,0.61668,0.44753,0.43292,0.26173,0.59494,0.40264,0.38165,0.19622,1.18848,1.9268,1.03191,1.06125,0,0.00192033,0.00192033,0.00192033
