epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,193.274,1.35411,2.40744,1.50546,1.14815,0,0.48297,0.35305,0.31322,0.1765,0.42798,0.31085,0.24871,0.12098,1.31888,2.6133,1.40768,1.17711,0,0.000663446,0.000663446,0.0674911
2,302.227,1.233,1.99089,1.17819,1.08478,0,0.39962,0.40702,0.35661,0.21144,0.39083,0.37031,0.3259,0.17395,1.2749,2.05797,1.31989,1.1506,0,0.00132945,0.00132945,0.0348238
3,826.219,1.18322,1.87509,1.08809,1.05802,0,0.56564,0.4311,0.38374,0.23306,0.55446,0.39368,0.34192,0.18787,1.21565,1.94199,1.18988,1.11527,0,0.0019928,0.0019928,0.00215383
4,991.221,1.15576,1.80204,1.04984,1.04627,0,0.40778,0.47648,0.40839,0.24306,0.37543,0.44836,0.35423,0.18609,1.21306,1.91936,1.21239,1.12484,0,0.00199104,0.00199104,0.00199104
5,1174.33,1.13569,1.76681,1.01931,1.03384,0,0.60696,0.43333,0.42237,0.25455,0.56017,0.41192,0.37975,0.206,1.17622,1.88725,1.11915,1.10011,0,0.00198409,0.00198409,0.00198409
6,1297.32,1.11389,1.73122,0.98898,1.02427,0,0.5973,0.44713,0.43611,0.26909,0.59388,0.41705,0.39929,0.2193,1.15831,1.78796,1.08306,1.09421,0,0.00197518,0.00197518,0.00197518
7,1643.3,1.08877,1.69945,0.97721,1.01682,0,0.60965,0.46511,0.44828,0.27856,0.58224,0.44266,0.40969,0.23044,1.148,1.77198,1.07099,1.09303,0,0.00196432,0.00196432,0.00196432
8,1739.81,1.09164,1.68831,0.95282,1.01869,0,0.61975,0.46654,0.44958,0.2776,0.59894,0.44122,0.41242,0.22731,1.16106,1.76868,1.061,1.09234,0,0.00195155,0.00195155,0.00195155
9,1879.37,1.07876,1.67149,0.93417,1.00884,0,0.62916,0.4623,0.43991,0.27408,0.59992,0.43655,0.39914,0.22303,1.1481,1.73287,1.12043,1.08249,0,0.00193687,0.00193687,0.00193687
10,2112.57,1.05105,1.62665,0.90133,0.99878,0,0.67158,0.4506,0.46372,0.29134,0.64795,0.43099,0.42841,0.23597,1.12102,1.76373,1.06252,1.07546,0,0.00192033,0.00192033,0.00192033
11,2239.83,1.02708,1.58276,0.87995,0.99038,0,0.6237,0.45732,0.45601,0.28356,0.60412,0.4322,0.41968,0.24124,1.11952,1.749,1.03105,1.06951,0,0.00190196,0.00190196,0.00190196
12,2316.44,1.0186,1.5746,0.86736,0.98191,0,0.63494,0.45977,0.45556,0.28659,0.60964,0.43573,0.41676,0.22853,1.10058,1.74154,1.04687,1.07668,0,0.00188179,0.00188179,0.00188179
13,2478.76,1.0208,1.5822,0.85758,0.98353,0,0.52053,0.46248,0.46601,0.29538,0.49183,0.43997,0.42669,0.24152,1.11521,1.72426,1.01981,1.07536,0,0.00185986,0.00185986,0.00185986
