epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,160.777,1.36968,2.48613,1.56878,1.15329,0,0.44731,0.33495,0.26089,0.14645,0.40843,0.29062,0.20539,0.09196,1.34455,3.50952,1.72958,1.16235,0,0.000660256,0.000660256,0.0676474
2,312.975,1.22081,1.97842,1.13921,1.07039,0,0.58123,0.38968,0.36452,0.21047,0.51793,0.38381,0.32624,0.17509,1.26608,2.06602,1.25495,1.12292,0,0.00132626,0.00132626,0.0349801
3,466.5,1.1747,1.87276,1.06715,1.04528,0,0.55711,0.42512,0.38356,0.22698,0.52553,0.38985,0.33333,0.17745,1.22572,2.11546,1.22059,1.11701,0,0.00198962,0.00198962,0.00231013
4,617.424,1.16258,1.84886,1.05099,1.04164,0,0.43468,0.45703,0.40894,0.24282,0.41121,0.43174,0.36475,0.19056,1.19408,1.95114,1.18429,1.11354,0,0.00199104,0.00199104,0.00199104
5,767.824,1.1217,1.76216,0.9954,1.02584,0,0.60086,0.46571,0.43361,0.26737,0.5726,0.43602,0.39042,0.21452,1.16516,1.90898,1.09011,1.09198,0,0.00198409,0.00198409,0.00198409
6,915.523,1.09612,1.73046,0.96422,1.01493,0,0.61608,0.45953,0.43427,0.26842,0.59035,0.42825,0.39216,0.21706,1.15136,1.84676,1.08337,1.08354,0,0.00197518,0.00197518,0.00197518
7,1066.2,1.05988,1.67453,0.91686,0.99897,0,0.4854,0.4715,0.45383,0.28536,0.47305,0.43836,0.41508,0.22835,1.13321,1.80796,1.05299,1.08233,0,0.00196432,0.00196432,0.00196432
8,1215.04,1.05363,1.63541,0.90969,0.99879,0,0.63742,0.44915,0.44731,0.28081,0.60781,0.42571,0.40949,0.22893,1.11976,1.8184,1.01562,1.06399,0,0.00195155,0.00195155,0.00195155
9,1367.18,1.05392,1.62675,0.89308,0.99033,0,0.49467,0.42651,0.45289,0.28253,0.47232,0.41097,0.41641,0.23209,1.11773,1.82534,1.03319,1.08015,0,0.00193687,0.00193687,0.00193687
10,1514.94,1.02713,1.58042,0.86922,0.98606,0,0.48816,0.46273,0.44366,0.27857,0.46196,0.4347,0.40101,0.22066,1.11236,1.78565,1.08018,1.0608,0,0.00192033,0.00192033,0.00192033
