epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,74.7586,1.61182,3.22404,2.27451,1.30145,0,0.2068,0.17264,0.12481,0.06315,0.02359,0.02483,0.00401,0.00099,1.68183,42.9725,5.02956,1.36909,0,0.000649573,0.000649573,0.0681709
2,126.816,1.36984,2.32999,1.47124,1.15319,0,0.22016,0.28248,0.19933,0.09721,0.18938,0.21503,0.14254,0.05555,1.61461,6.55287,4.22927,1.42136,0,0.00131558,0.00131558,0.0355036
3,182.19,1.34547,2.21196,1.36392,1.14092,0,0.28208,0.31371,0.21264,0.10922,0.25492,0.28941,0.18063,0.0821,1.52254,3.53397,2.36048,1.35186,0,0.00197895,0.00197895,0.00283366
4,238.799,1.31706,2.1411,1.24606,1.12001,0,0.32493,0.39252,0.30181,0.16713,0.46721,0.34501,0.26414,0.1329,1.42283,2.81407,1.92484,1.28308,0,0.00199104,0.00199104,0.00199104
5,293.267,1.28422,2.07391,1.22722,1.11062,0,0.48187,0.3851,0.31614,0.17369,0.46855,0.37062,0.28429,0.14941,1.4351,2.40804,1.75755,1.29322,0,0.00198409,0.00198409,0.00198409
6,351.142,1.29211,2.09589,1.20301,1.10407,0,0.52344,0.38003,0.34536,0.19352,0.50954,0.36342,0.33504,0.17322,1.35307,2.25323,1.52649,1.22765,0,0.00197518,0.00197518,0.00197518
7,409.068,1.2426,2.03486,1.14278,1.07791,0,0.33797,0.50614,0.35809,0.20868,0.32235,0.47322,0.32784,0.17445,1.29558,2.18004,1.5416,1.19152,0,0.00196432,0.00196432,0.00196432
8,464.877,1.20747,1.94721,1.12625,1.0683,0,0.49802,0.41302,0.384,0.22104,0.46622,0.41618,0.359,0.1922,1.30017,2.13114,1.33621,1.19141,0,0.00195155,0.00195155,0.00195155
9,521.418,1.2038,1.95166,1.10555,1.06466,0,0.40799,0.47476,0.3904,0.22929,0.42397,0.45417,0.36603,0.19922,1.29676,2.09944,1.36488,1.17237,0,0.00193687,0.00193687,0.00193687
10,580.247,1.20201,1.91568,1.09474,1.06422,0,0.45364,0.48863,0.43627,0.25589,0.44113,0.4734,0.41596,0.2337,1.26419,2.04836,1.28887,1.16643,0,0.00192033,0.00192033,0.00192033
