epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,198.412,1.36774,2.41209,1.53055,1.14469,0,0.44944,0.3719,0.2809,0.1565,0.42496,0.33321,0.23795,0.11676,1.3001,2.83717,2.06986,1.15757,0,0.000660256,0.000660256,0.0676474
2,346.155,1.22249,1.97002,1.12784,1.06739,0,0.3803,0.40107,0.35007,0.19836,0.35559,0.37236,0.31063,0.16568,1.28942,2.17493,1.45039,1.12433,0,0.00132626,0.00132626,0.0349801
3,497.389,1.174,1.8832,1.0613,1.04501,0,0.59008,0.39592,0.37797,0.22278,0.56298,0.37273,0.34054,0.18423,1.23383,2.11712,1.21784,1.1096,0,0.00198962,0.00198962,0.00231013
4,647.511,1.1787,1.84999,1.05109,1.04246,0,0.43966,0.45822,0.40029,0.23292,0.56046,0.41882,0.35817,0.18047,1.21913,1.95334,1.23666,1.10904,0,0.00199104,0.00199104,0.00199104
5,798.338,1.13997,1.78745,1.00971,1.03161,0,0.60109,0.45046,0.42299,0.25297,0.55912,0.42846,0.38387,0.20768,1.17877,1.9057,1.14504,1.08713,0,0.00198409,0.00198409,0.00198409
6,953.076,1.11081,1.74684,0.98435,1.01745,0,0.60337,0.47236,0.43065,0.26441,0.59467,0.44576,0.39388,0.21371,1.15185,1.85352,1.19127,1.07671,0,0.00197518,0.00197518,0.00197518
7,1103.58,1.07736,1.68219,0.94191,1.003,0,0.48119,0.45623,0.44539,0.2814,0.46205,0.43282,0.40757,0.22686,1.12804,1.76963,1.11171,1.07135,0,0.00196432,0.00196432,0.00196432
8,1247.72,1.07624,1.65587,0.9369,1.00339,0,0.62096,0.44426,0.43737,0.2626,0.60661,0.41814,0.39804,0.21606,1.17236,1.84965,1.0769,1.08031,0,0.00195155,0.00195155,0.00195155
9,1398.61,1.07866,1.65474,0.92608,0.99995,0,0.60231,0.43453,0.42792,0.26517,0.56699,0.43575,0.39605,0.21503,1.13484,1.78858,1.08685,1.08022,0,0.00193687,0.00193687,0.00193687
10,1542.85,1.05637,1.61786,0.91268,0.9945,0,0.62694,0.44837,0.44124,0.2726,0.60092,0.42637,0.40329,0.21591,1.14421,1.80059,1.08204,1.06474,0,0.00192033,0.00192033,0.00192033
11,1693.13,1.03573,1.60765,0.88176,0.98474,0,0.65781,0.44648,0.46344,0.28848,0.62013,0.43321,0.42518,0.24184,1.10737,1.76534,1.00193,1.05115,0,0.00190196,0.00190196,0.00190196
12,1842.65,1.02232,1.571,0.89472,0.97877,0,0.62742,0.4497,0.45773,0.28972,0.62161,0.42514,0.41697,0.22988,1.09139,1.73721,1.02213,1.05608,0,0.00188179,0.00188179,0.00188179
13,1988.94,1.02457,1.57017,0.86856,0.9805,0,0.62372,0.46317,0.45097,0.28325,0.62558,0.4294,0.42191,0.23024,1.09983,1.70562,1.02881,1.06085,0,0.00185986,0.00185986,0.00185986
14,2138.48,0.9995,1.53816,0.83633,0.96639,0,0.50765,0.47259,0.45859,0.29174,0.46927,0.44704,0.41248,0.22581,1.08127,1.69366,1.07563,1.05365,0,0.00183623,0.00183623,0.00183623
15,2287.7,0.99978,1.53685,0.83844,0.96836,0,0.63012,0.46355,0.45181,0.28446,0.62684,0.43376,0.42555,0.23525,1.12247,1.77042,1.03867,1.06315,0,0.00181093,0.00181093,0.00181093
16,2435.51,0.98169,1.505,0.82354,0.96304,0,0.48209,0.48875,0.4689,0.30138,0.46302,0.46541,0.42973,0.24336,1.07274,1.67006,0.96755,1.05072,0,0.00178401,0.00178401,0.00178401
17,2582.82,0.97039,1.47364,0.79946,0.96094,0,0.52741,0.56856,0.5161,0.32371,0.50571,0.54195,0.48027,0.26927,1.08046,1.69969,0.95602,1.04727,0,0.00175554,0.00175554,0.00175554
18,2733.32,0.97637,1.49606,0.79034,0.96041,0,0.51146,0.46631,0.47086,0.30419,0.48867,0.44566,0.43684,0.24396,1.06693,1.70675,0.96812,1.04213,0,0.00172557,0.00172557,0.00172557
19,2882.55,0.96406,1.46756,0.78897,0.95751,0,0.64456,0.48164,0.47033,0.3052,0.61897,0.45675,0.428,0.24184,1.07225,1.69892,0.99003,1.04712,0,0.00169415,0.00169415,0.00169415
20,3030.79,0.95967,1.47871,0.76754,0.94748,0,0.5165,0.48797,0.48113,0.31173,0.50208,0.45669,0.44333,0.24676,1.04585,1.67197,0.94034,1.04055,0,0.00166136,0.00166136,0.00166136
21,3176.47,0.94622,1.42872,0.75886,0.94754,0,0.53444,0.47442,0.48331,0.31516,0.51875,0.44664,0.45074,0.25269,1.05314,1.67496,0.94379,1.03911,0,0.00162725,0.00162725,0.00162725
22,3324.88,0.94795,1.42668,0.75161,0.94405,0,0.67792,0.47621,0.48162,0.31321,0.65018,0.45643,0.44536,0.25527,1.05648,1.65896,0.96614,1.03736,0,0.00159191,0.00159191,0.00159191
23,3474.86,0.93729,1.40233,0.73149,0.94112,0,0.54021,0.4815,0.50222,0.32767,0.52017,0.45954,0.46664,0.26645,1.05425,1.65248,0.93494,1.0375,0,0.00155539,0.00155539,0.00155539
24,3623.8,0.92651,1.40912,0.72644,0.93642,0,0.51675,0.47333,0.4705,0.30242,0.48917,0.44842,0.43497,0.24448,1.06075,1.70234,0.97567,1.04068,0,0.00151777,0.00151777,0.00151777
25,3772.08,0.91343,1.36704,0.70803,0.93232,0,0.66545,0.48196,0.48447,0.31806,0.64737,0.45752,0.4517,0.25519,1.03516,1.708,0.92897,1.03666,0,0.00147913,0.00147913,0.00147913
26,3920.69,0.90368,1.38312,0.70103,0.92875,0,0.53065,0.47877,0.49455,0.32782,0.51149,0.45489,0.46266,0.26635,1.02867,1.65773,0.9851,1.03309,0,0.00143954,0.00143954,0.00143954
27,4071.2,0.89824,1.36428,0.69187,0.92635,0,0.56263,0.49588,0.49718,0.32252,0.54924,0.47446,0.46174,0.26263,1.04862,1.67247,0.94616,1.03739,0,0.00139909,0.00139909,0.00139909
28,4218.79,0.8974,1.35197,0.69022,0.92753,0,0.54608,0.46251,0.48096,0.31258,0.52101,0.44131,0.44318,0.2463,1.03568,1.67776,0.96288,1.04055,0,0.00135786,0.00135786,0.00135786
29,4365.24,0.89167,1.33379,0.67918,0.92399,0,0.47339,0.53124,0.47411,0.3061,0.44522,0.50407,0.43337,0.24091,1.02858,1.66737,0.97416,1.03816,0,0.00131593,0.00131593,0.00131593
30,4514.27,0.89643,1.33657,0.686,0.92482,0,0.52781,0.46806,0.47853,0.31344,0.49063,0.45271,0.43779,0.24497,1.02636,1.65057,0.9494,1.02933,0,0.00127338,0.00127338,0.00127338
31,4662.8,0.88827,1.33356,0.67373,0.91796,0,0.5285,0.49043,0.48863,0.32091,0.51661,0.47037,0.46206,0.26492,1.02907,1.65636,0.9375,1.03003,0,0.0012303,0.0012303,0.0012303
32,4816.5,0.88017,1.31767,0.65909,0.92154,0,0.5315,0.47129,0.46936,0.30554,0.5068,0.45077,0.43303,0.24149,1.02668,1.65771,1.0099,1.03276,0,0.00118677,0.00118677,0.00118677
33,4966.84,0.86725,1.28719,0.64721,0.91627,0,0.54147,0.48218,0.49613,0.32828,0.51569,0.45789,0.46123,0.25807,1.01616,1.6506,0.91663,1.03166,0,0.00114289,0.00114289,0.00114289
34,5116.76,0.85416,1.27035,0.63093,0.91148,0,0.554,0.48082,0.49856,0.32998,0.53738,0.44522,0.45982,0.25794,1.01119,1.64041,0.91691,1.02825,0,0.00109874,0.00109874,0.00109874
35,5264.45,0.84899,1.27272,0.63172,0.90947,0,0.54388,0.49197,0.50153,0.33348,0.52149,0.4682,0.47068,0.27375,1.00719,1.60599,0.90672,1.02779,0,0.00105442,0.00105442,0.00105442
36,5414.03,0.8544,1.27778,0.62405,0.9098,0,0.52704,0.48637,0.48821,0.31984,0.51499,0.45748,0.45315,0.25916,1.0336,1.67492,0.93473,1.04083,0,0.00101,0.00101,0.00101
37,5565.82,0.85323,1.27731,0.6158,0.9091,0,0.55218,0.49051,0.50551,0.33343,0.52939,0.46424,0.4704,0.27151,1.01769,1.66158,0.92371,1.03662,0,0.000965584,0.000965584,0.000965584
