epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8325,1.52365,2.93179,1.92313,1.23856,0,0.34595,0.19262,0.17124,0.09707,0.25254,0.0847,0.04365,0.01358,1.59367,18.1405,2.8949,1.36293,0,0.00065812,0.00065812,0.0677521
2,46.2606,1.38798,2.3333,1.42251,1.16749,0,0.27895,0.31461,0.25619,0.13898,0.26542,0.29567,0.22306,0.10272,1.49973,3.27228,1.86814,1.31572,0,0.00132413,0.00132413,0.0350848
3,69.1411,1.35948,2.26101,1.37262,1.14858,0,0.35811,0.39608,0.30635,0.16776,0.31054,0.34033,0.24987,0.12533,1.43974,2.78464,1.70959,1.25155,0,0.00198748,0.00198748,0.00241484
4,104.505,1.35911,2.20139,1.32111,1.15021,0,0.33325,0.42682,0.32765,0.1799,0.30475,0.39263,0.28637,0.14589,1.43174,2.43293,1.59941,1.24761,0,0.00199104,0.00199104,0.00199104
5,127.293,1.34457,2.16374,1.29721,1.14107,0,0.45332,0.39474,0.31035,0.17238,0.4521,0.36843,0.28696,0.1531,1.45033,2.4708,1.49183,1.26361,0,0.00198409,0.00198409,0.00198409
6,231.105,1.29227,2.07143,1.2514,1.12362,0,0.4766,0.39615,0.35145,0.20001,0.46059,0.36589,0.31513,0.16981,1.35732,2.26616,1.44102,1.21052,0,0.00197518,0.00197518,0.00197518
7,258.505,1.24469,2.02157,1.1674,1.09724,0,0.41278,0.47607,0.39266,0.22603,0.41969,0.44421,0.37732,0.19519,1.32542,2.21813,1.37998,1.19741,0,0.00196432,0.00196432,0.00196432
8,472.798,1.24336,1.98812,1.15869,1.08971,0,0.44631,0.45615,0.39935,0.23532,0.42302,0.46751,0.37349,0.2044,1.30134,2.08824,1.33902,1.18331,0,0.00195155,0.00195155,0.00195155
9,585.737,1.21373,1.97743,1.13002,1.08686,0,0.4536,0.45112,0.39373,0.23439,0.439,0.43321,0.36951,0.20225,1.29821,2.07683,1.3526,1.17693,0,0.00193687,0.00193687,0.00193687
10,792.355,1.19358,1.93823,1.11632,1.06494,0,0.54806,0.42121,0.41906,0.24223,0.53549,0.39914,0.38852,0.20833,1.25571,2.07693,1.31144,1.15147,0,0.00192033,0.00192033,0.00192033
11,835.646,1.1767,1.91059,1.09788,1.06716,0,0.49698,0.45959,0.44746,0.27038,0.48047,0.43743,0.41492,0.22374,1.24044,2.00852,1.27484,1.13595,0,0.00190196,0.00190196,0.00190196
12,890.612,1.18573,1.89745,1.12445,1.06856,0,0.4832,0.46396,0.45067,0.27377,0.46855,0.44268,0.41036,0.22857,1.23167,1.9999,1.25758,1.13762,0,0.00188179,0.00188179,0.00188179
13,922.056,1.15976,1.83594,1.06737,1.05266,0,0.56718,0.44996,0.4574,0.2755,0.54968,0.43193,0.42233,0.22725,1.2122,2.05902,1.26462,1.13575,0,0.00185986,0.00185986,0.00185986
14,962.94,1.1508,1.84997,1.05101,1.0515,0,0.45029,0.50838,0.45233,0.27426,0.43403,0.48862,0.41683,0.22856,1.21868,1.97682,1.22401,1.13289,0,0.00183623,0.00183623,0.00183623
15,989.229,1.1315,1.77966,1.03843,1.04331,0,0.44459,0.53415,0.4649,0.28543,0.4792,0.50096,0.43271,0.2385,1.21688,2.0209,1.23059,1.13576,0,0.00181093,0.00181093,0.00181093
16,1142.9,1.14492,1.83112,1.04547,1.05051,0,0.51661,0.46567,0.46647,0.2874,0.49278,0.44239,0.42803,0.24448,1.1854,1.91603,1.19845,1.1191,0,0.00178401,0.00178401,0.00178401
17,1192.23,1.12795,1.80003,1.02719,1.04274,0,0.4646,0.54288,0.48813,0.30191,0.46187,0.53892,0.46338,0.25929,1.18897,1.97713,1.19608,1.12087,0,0.00175554,0.00175554,0.00175554
18,1223.17,1.12261,1.78752,1.0277,1.04418,0,0.57245,0.53441,0.52656,0.33327,0.5612,0.50807,0.48986,0.28809,1.17218,1.9239,1.17339,1.11706,0,0.00172557,0.00172557,0.00172557
19,1254.19,1.11662,1.78907,1.00564,1.03392,0,0.54899,0.53686,0.51475,0.31767,0.52728,0.5036,0.48971,0.28149,1.17003,1.94637,1.16114,1.11259,0,0.00169415,0.00169415,0.00169415
20,1282.03,1.10163,1.74432,1.01575,1.03349,0,0.58056,0.51694,0.51133,0.31068,0.55564,0.49489,0.47801,0.26078,1.1859,1.92514,1.19759,1.11346,0,0.00166136,0.00166136,0.00166136
21,1322.97,1.11639,1.75829,1.01905,1.0349,0,0.51926,0.50934,0.49645,0.30714,0.51068,0.47191,0.46019,0.26608,1.17981,1.96894,1.18536,1.11857,0,0.00162725,0.00162725,0.00162725
22,1356.91,1.10499,1.77052,1.00412,1.03271,0,0.55086,0.48274,0.49322,0.30848,0.56439,0.46445,0.46627,0.26054,1.18275,1.88461,1.15284,1.12782,0,0.00159191,0.00159191,0.00159191
23,1387.09,1.09699,1.7489,0.98746,1.02428,0,0.53924,0.51406,0.5011,0.30666,0.51644,0.50495,0.47324,0.26605,1.1467,1.88112,1.15513,1.10309,0,0.00155539,0.00155539,0.00155539
24,1432.84,1.07178,1.70498,0.97036,1.01669,0,0.61645,0.45446,0.49736,0.31392,0.44849,0.50501,0.46716,0.26646,1.15459,1.89468,1.14548,1.11167,0,0.00151777,0.00151777,0.00151777
25,1520.1,1.05307,1.64633,0.94252,1.0077,0,0.57631,0.49474,0.51141,0.31008,0.55514,0.46894,0.47282,0.26508,1.1595,1.84736,1.1651,1.11312,0,0.00147913,0.00147913,0.00147913
26,1589.89,1.07212,1.68061,0.95081,1.0188,0,0.5036,0.53506,0.48566,0.30051,0.4899,0.4981,0.44696,0.24961,1.15186,1.88896,1.17534,1.11197,0,0.00143954,0.00143954,0.00143954
27,1629.49,1.05102,1.66255,0.94421,1.00982,0,0.55199,0.56374,0.53403,0.33819,0.52992,0.53734,0.49827,0.28601,1.1444,1.85961,1.12633,1.10775,0,0.00139909,0.00139909,0.00139909
28,1665.48,1.05125,1.64695,0.93397,1.00623,0,0.56855,0.53147,0.52218,0.32767,0.54403,0.51134,0.49512,0.29393,1.13392,1.82262,1.12001,1.09325,0,0.00135786,0.00135786,0.00135786
29,1697.97,1.03868,1.6357,0.91914,1.0012,0,0.56991,0.51033,0.52224,0.33234,0.53602,0.48628,0.48064,0.28129,1.12058,1.81016,1.11487,1.09648,0,0.00131593,0.00131593,0.00131593
30,1736.76,1.02533,1.5942,0.88004,0.99766,0,0.51771,0.5502,0.5134,0.33009,0.48799,0.52163,0.47472,0.28329,1.10324,1.7956,1.10863,1.08471,0,0.00127338,0.00127338,0.00127338
31,1803.57,1.01062,1.59532,0.88761,0.98488,0,0.52579,0.58597,0.51531,0.32794,0.53319,0.53523,0.49146,0.2909,1.11443,1.80632,1.11331,1.08814,0,0.0012303,0.0012303,0.0012303
32,1828.5,1.01282,1.5889,0.87785,0.99088,0,0.59374,0.56113,0.53368,0.34332,0.56862,0.53482,0.49488,0.291,1.09274,1.81143,1.09903,1.08818,0,0.00118677,0.00118677,0.00118677
33,1875.12,1.00937,1.58048,0.88674,0.99141,0,0.57074,0.52513,0.52378,0.33383,0.5451,0.50209,0.48911,0.2784,1.10517,1.80361,1.11295,1.09201,0,0.00114289,0.00114289,0.00114289
34,1910.12,1.00153,1.57484,0.86481,0.99383,0,0.57389,0.54778,0.54241,0.35621,0.56319,0.53353,0.5187,0.30486,1.09274,1.76244,1.09584,1.08101,0,0.00109874,0.00109874,0.00109874
35,1938.41,1.01097,1.58569,0.84871,0.98257,0,0.61849,0.51397,0.54974,0.34137,0.58787,0.4762,0.50345,0.28116,1.10888,1.79982,1.10397,1.08547,0,0.00105442,0.00105442,0.00105442
36,1969.73,0.99512,1.57343,0.85436,0.98004,0,0.58882,0.51907,0.52821,0.34546,0.57961,0.50245,0.49884,0.29561,1.0952,1.79529,1.12178,1.08134,0,0.00101,0.00101,0.00101
37,2104.1,0.98513,1.55019,0.83792,0.9724,0,0.60839,0.52421,0.5574,0.36071,0.60214,0.49867,0.53288,0.32514,1.09941,1.76922,1.10783,1.08383,0,0.000965584,0.000965584,0.000965584
38,2210.33,0.98241,1.54573,0.81885,0.97316,0,0.57344,0.53831,0.53018,0.33985,0.54073,0.51374,0.48722,0.288,1.08967,1.75429,1.08946,1.07983,0,0.000921257,0.000921257,0.000921257
