image,columna,viga,sobrecimiento,muro_kk,muro_pandereta,muro_revestido,muro_adobe,TOTAL
img_0366.jpg,40,16,9,65,3,5,0,138
test.jpg,6,5,0,6,5,3,0,25
img_0178.jpg,6,2,8,8,0,0,0,24
img_0392.jpg,37,16,2,40,13,15,0,123
img_0085.jpg,32,6,3,45,0,6,0,92
img_0004.jpg,25,8,0,22,19,7,0,81
img_0146.jpg,10,24,4,27,17,7,0,89
img_0309.jpg,38,9,4,43,16,10,0,120
img_0234.jpg,43,9,1,38,5,3,0,99
img_0116.jpg,10,7,0,11,10,5,0,43
img_0218.jpg,15,3,5,14,5,6,0,48
img_0388.jpg,44,21,8,65,12,1,0,151
img_0367.jpg,28,6,4,39,4,8,0,89
img_0340.jpg,14,1,0,4,16,8,0,43
img_0374.jpg,23,2,9,26,0,0,0,60
img_0105.jpg,9,5,5,12,0,0,0,31
img_0294.jpg,29,11,9,36,9,5,0,99
img_0014.jpg,11,6,2,15,0,3,0,37
img_0316.jpg,38,19,0,46,7,6,0,116
img_0263.jpg,23,7,2,24,2,2,0,60
img_0123.jpg,14,3,1,20,4,7,0,49
img_0115.jpg,6,2,3,7,0,0,0,18
img_0049.jpg,25,4,6,35,1,0,0,71
img_0016.jpg,36,8,7,50,8,4,0,113
img_0017.jpg,12,18,2,16,7,4,0,59
img_0220.jpg,46,6,9,35,17,0,0,113
img_0310.jpg,33,14,3,41,8,6,0,105
img_0046.jpg,5,4,1,8,0,0,0,18
img_0284.jpg,22,7,1,26,16,7,0,79
img_0397.jpg,16,5,0,25,1,2,0,49
img_0354.jpg,43,10,11,40,3,0,0,107
img_0054.jpg,15,17,0,20,0,4,0,56
img_0385.jpg,28,10,1,34,14,7,0,94
img_0074.jpg,11,1,3,11,0,5,0,31
img_0118.jpg,14,11,2,27,5,7,0,66
img_0129.jpg,10,1,3,11,1,1,1,28
img_0144.jpg,20,8,1,19,2,6,0,56
img_0387.jpg,16,5,7,31,3,10,0,72
img_0013.jpg,7,5,3,11,4,4,0,34
img_0060.jpg,38,4,5,60,2,3,0,112
img_0335.jpg,23,4,0,19,18,4,0,68
