modelo,yolo8s_800_1x_local_450imgs,yolo8s_800_1x_local_450imgs,yolo8s_800_1x_local_450imgs,yolo8s_800_1x_local_450imgs,yolo8s_800_1x_local_450imgs,yolo8s_800_1x_local_450imgs,yolo8s_800_1x_local_450imgs,yolo8s_800_1x_local_450imgs,yolo8s_800_1x_local_450imgs,yolo8s_800_1x_local_450imgs,yolo8s_800_1x_local_450imgs,yolo8s_800_1x_local_450imgs,yolo8s_800_1x_local_450imgs,yolo8s_800_1x_local_450imgs,yolo8s_800_1x_local_450imgs,yolo8s_800_1x_local_450imgs,yolo8s_800_1x_local_450imgs,yolo8s_800_1x_local_450imgs,yolo8s_800_1x_local_450imgs,yolo8s_800_1x_local_450imgs,yolo8s_800_1x_local_450imgs
clase,columna,columna,columna,viga,viga,viga,sobrecimiento,sobrecimiento,sobrecimiento,muro_kk,muro_kk,muro_kk,muro_pandereta,muro_pandereta,muro_pandereta,muro_revestido,muro_revestido,muro_revestido,muro_adobe,muro_adobe,muro_adobe
métrica,real,pred,diff,real,pred,diff,real,pred,diff,real,pred,diff,real,pred,diff,real,pred,diff,real,pred,diff
imagen,,,,,,,,,,,,,,,,,,,,,
img_0004.jpg,26,32,6,15,20,5,0,1,1,31,39,8,6,8,2,4,7,3,0,0,0
img_0013.jpg,7,5,-2,3,4,1,1,2,1,11,10,-1,0,0,0,5,5,0,0,2,2
img_0014.jpg,13,10,-3,2,2,0,0,0,0,14,14,0,0,0,0,2,1,-1,0,0,0
img_0016.jpg,40,32,-8,11,10,-1,6,1,-5,49,53,4,3,1,-2,6,3,-3,0,0,0
img_0017.jpg,8,14,6,12,13,1,0,2,2,16,22,6,6,6,0,3,2,-1,0,0,0
img_0046.jpg,5,5,0,5,3,-2,5,0,-5,9,7,-2,0,0,0,0,0,0,0,0,0
img_0049.jpg,24,27,3,13,7,-6,9,5,-4,38,36,-2,0,0,0,0,0,0,0,0,0
img_0054.jpg,8,16,8,19,17,-2,0,0,0,24,24,0,0,2,2,6,4,-2,0,0,0
img_0060.jpg,33,29,-4,9,4,-5,3,5,2,43,57,14,0,1,1,4,3,-1,0,0,0
img_0074.jpg,10,14,4,2,2,0,2,5,3,9,11,2,0,0,0,0,2,2,0,0,0
img_0083.jpg,1,2,1,7,5,-2,0,0,0,0,0,0,10,9,-1,6,7,1,0,1,1
img_0085.jpg,24,34,10,3,6,3,0,1,1,30,40,10,0,0,0,9,11,2,0,0,0
img_0105.jpg,9,9,0,4,4,0,2,6,4,12,12,0,0,0,0,0,0,0,0,0,0
img_0114.jpg,3,5,2,5,4,-1,0,3,3,5,6,1,4,5,1,4,3,-1,0,1,1
img_0115.jpg,5,9,4,1,2,1,6,5,-1,6,8,2,0,0,0,0,0,0,0,0,0
img_0116.jpg,12,11,-1,6,8,2,0,0,0,13,14,1,8,4,-4,12,13,1,0,0,0
img_0118.jpg,18,18,0,11,8,-3,3,3,0,20,22,2,1,6,5,10,12,2,0,0,0
img_0123.jpg,16,15,-1,3,4,1,0,0,0,16,33,17,3,3,0,7,6,-1,0,0,0
img_0129.jpg,8,11,3,1,0,-1,1,1,0,12,10,-2,0,0,0,4,3,-1,0,0,0
img_0144.jpg,12,19,7,6,9,3,4,2,-2,13,23,10,1,1,0,4,6,2,0,0,0
img_0146.jpg,4,19,15,16,18,2,4,3,-1,11,23,12,14,30,16,3,6,3,0,0,0
img_0178.jpg,6,6,0,0,1,1,8,10,2,8,8,0,0,0,0,0,0,0,0,0,0
img_0218.jpg,14,19,5,4,5,1,5,5,0,11,15,4,5,5,0,4,16,12,0,0,0
img_0220.jpg,42,47,5,7,9,2,8,7,-1,47,41,-6,3,13,10,0,0,0,0,0,0
img_0234.jpg,39,44,5,11,10,-1,0,0,0,38,42,4,5,6,1,1,5,4,0,0,0
img_0263.jpg,23,28,5,7,3,-4,1,4,3,27,28,1,0,2,2,2,3,1,0,0,0
img_0284.jpg,26,21,-5,10,4,-6,3,0,-3,36,32,-4,2,9,7,6,8,2,0,0,0
img_0294.jpg,34,31,-3,10,10,0,6,4,-2,34,36,2,17,7,-10,4,5,1,0,0,0
img_0309.jpg,35,34,-1,8,11,3,2,4,2,19,45,26,16,9,-7,3,5,2,0,0,0
img_0310.jpg,31,34,3,11,11,0,0,1,1,34,38,4,2,6,4,5,4,-1,0,0,0
img_0316.jpg,37,37,0,25,22,-3,0,0,0,21,51,30,29,3,-26,5,10,5,0,0,0
img_0335.jpg,27,25,-2,9,6,-3,0,0,0,29,30,1,18,13,-5,6,6,0,0,0,0
img_0340.jpg,13,14,1,1,1,0,0,1,1,12,8,-4,5,13,8,11,7,-4,0,0,0
img_0354.jpg,40,51,11,7,7,0,6,10,4,35,55,20,0,0,0,1,1,0,0,0,0
img_0365.jpg,19,23,4,4,5,1,2,7,5,21,30,9,3,1,-2,13,9,-4,0,0,0
img_0367.jpg,25,29,4,7,6,-1,2,3,1,24,33,9,8,4,-4,6,12,6,0,0,0
img_0374.jpg,31,21,-10,7,2,-5,13,10,-3,31,24,-7,0,0,0,0,0,0,0,0,0
img_0385.jpg,24,30,6,7,11,4,3,5,2,29,35,6,7,7,0,5,7,2,0,0,0
img_0387.jpg,34,18,-16,10,10,0,5,5,0,34,42,8,4,2,-2,3,7,4,0,0,0
img_0396.jpg,22,21,-1,2,3,1,7,6,-1,17,24,7,8,4,-4,0,0,0,0,0,0
img_0398.jpg,30,31,1,5,9,4,7,5,-2,35,44,9,9,5,-4,3,4,1,0,0,0
img_0466.jpg,0,2,2,0,1,1,0,1,1,0,4,4,0,0,0,19,12,-7,0,0,0
img_0485.jpg,6,0,-6,3,0,-3,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0
img_0488.jpg,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,11,10,-1,0,0,0
img_0497.jpg,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,18,14,-4,0,0,0
