image,columna,viga,sobrecimiento,muro_kk,muro_pandereta,muro_revestido,muro_adobe,TOTAL
img_0398.jpg,31,9,5,44,5,4,0,98
img_0114.jpg,5,4,3,6,5,3,1,27
img_0083.jpg,2,5,0,0,9,7,1,24
img_0466.jpg,2,1,1,4,0,12,0,20
img_0178.jpg,6,1,10,8,0,0,0,25
img_0485.jpg,0,0,0,0,0,21,0,21
img_0365.jpg,23,5,7,30,1,9,0,75
img_0085.jpg,34,6,1,40,0,11,0,92
img_0396.jpg,21,3,6,24,4,0,0,58
img_0004.jpg,32,20,1,39,8,7,0,107
img_0146.jpg,19,18,3,23,30,6,0,99
img_0309.jpg,34,11,4,45,9,5,0,108
img_0234.jpg,44,10,0,42,6,5,0,107
img_0116.jpg,11,8,0,14,4,13,0,50
img_0218.jpg,19,5,5,15,5,16,0,65
img_0488.jpg,0,0,0,1,0,10,0,11
img_0367.jpg,29,6,3,33,4,12,0,87
img_0340.jpg,14,1,1,8,13,7,0,44
img_0374.jpg,21,2,10,24,0,0,0,57
img_0105.jpg,9,4,6,12,0,0,0,31
img_0294.jpg,31,10,4,36,7,5,0,93
img_0014.jpg,10,2,0,14,0,1,0,27
img_0316.jpg,37,22,0,51,3,10,0,123
img_0263.jpg,28,3,4,28,2,3,0,68
img_0123.jpg,15,4,0,33,3,6,0,61
img_0115.jpg,9,2,5,8,0,0,0,24
img_0049.jpg,27,7,5,36,0,0,0,75
img_0016.jpg,32,10,1,53,1,3,0,100
img_0017.jpg,14,13,2,22,6,2,0,59
img_0220.jpg,47,9,7,41,13,0,0,117
img_0310.jpg,34,11,1,38,6,4,0,94
img_0046.jpg,5,3,0,7,0,0,0,15
img_0284.jpg,21,4,0,32,9,8,0,74
img_0497.jpg,1,1,0,0,1,14,0,17
img_0354.jpg,51,7,10,55,0,1,0,124
img_0054.jpg,16,17,0,24,2,4,0,63
img_0385.jpg,30,11,5,35,7,7,0,95
img_0074.jpg,14,2,5,11,0,2,0,34
img_0118.jpg,18,8,3,22,6,12,0,69
img_0129.jpg,11,0,1,10,0,3,0,25
img_0144.jpg,19,9,2,23,1,6,0,60
img_0387.jpg,18,10,5,42,2,7,0,84
img_0013.jpg,5,4,2,10,0,5,2,28
img_0060.jpg,29,4,5,57,1,3,0,99
img_0335.jpg,25,6,0,30,13,6,0,80
